transformer: 8-5= node1
transformer: 26-25= node2
transformer: 30-17= node3
transformer: 38-37= node4
transformer: 63-59= node5
transformer: 64-61= node6
transformer: 65-66= node7
transformer: 68-69= node8
transformer: 81-80= node9
Sensor no: 62-4= node202
Sensor no: 63-1= node203
Sensor no: 63-2= node204
Sensor no: 64-1= node205
Sensor no: 64-2= node206
Sensor no: 64-3= node207
Sensor no: 65-1= node208
Sensor no: 65-2= node209
Sensor no: 65-3= node210
Sensor no: 65-4= node211
Sensor no: 66-1= node212
Sensor no: 66-2= node213
Sensor no: 66-3= node214
Sensor no: 66-4= node215
Sensor no: 67-1= node216
Sensor no: 67-2= node217
Sensor no: 68-1= node218
Sensor no: 68-2= node219
Sensor no: 68-3= node220
Sensor no: 68-4= node221
Sensor no: 69-1= node222
Sensor no: 69-2= node223
Sensor no: 69-3= node224
Sensor no: 69-4= node225
Sensor no: 69-5= node226
Sensor no: 69-6= node227
Sensor no: 70-1= node228
Sensor no: 70-2= node229
Sensor no: 70-3= node230
Sensor no: 70-4= node231
Sensor no: 70-5= node232
Sensor no: 71-1= node233
Sensor no: 71-2= node234
Sensor no: 71-3= node235
Sensor no: 72-1= node236
Sensor no: 72-2= node237
Sensor no: 73-1= node238
Sensor no: 74-1= node239
Sensor no: 74-2= node240
Sensor no: 75-1= node241
Sensor no: 75-2= node242
Sensor no: 75-3= node243
Sensor no: 75-4= node244
Sensor no: 75-5= node245
Sensor no: 76-1= node246
Sensor no: 76-2= node247
Sensor no: 77-1= node248
Sensor no: 77-2= node249
Sensor no: 77-3= node250
Sensor no: 77-4= node251
Sensor no: 77-5= node252
Sensor no: 77-6= node253
Sensor no: 78-1= node254
Sensor no: 78-2= node255
Sensor no: 79-1= node256
Sensor no: 79-2= node257
Sensor no: 80-1= node258
Sensor no: 80-2= node259
Sensor no: 80-3= node260
Sensor no: 80-4= node261
Sensor no: 80-5= node262
Sensor no: 80-6= node263
Sensor no: 80-7= node264
Sensor no: 81-1= node265
Sensor no: 81-2= node266
Sensor no: 82-1= node267
Sensor no: 82-2= node268
Sensor no: 82-3= node269
Sensor no: 83-1= node270
Sensor no: 83-2= node271
Sensor no: 83-3= node272
Sensor no: 84-1= node273
Sensor no: 84-2= node274
Sensor no: 85-1= node275
Sensor no: 85-2= node276
Sensor no: 85-3= node277
Sensor no: 85-4= node278
Sensor no: 85-5= node279
Sensor no: 86-1= node280
Sensor no: 86-2= node281
Sensor no: 87-1= node282
Sensor no: 88-1= node283
Sensor no: 88-2= node284
Sensor no: 89-1= node285
Sensor no: 89-2= node286
Sensor no: 89-3= node287
Sensor no: 89-4= node288
Sensor no: 90-1= node289
Sensor no: 90-2= node290
Sensor no: 91-1= node291
Sensor no: 91-2= node292
Sensor no: 92-1= node293
Sensor no: 92-2= node294
Sensor no: 92-3= node295
Sensor no: 92-4= node296
Sensor no: 92-5= node297
Sensor no: 92-6= node298
Sensor no: 93-1= node299
Sensor no: 93-2= node300
Sensor no: 94-1= node301
Sensor no: 94-2= node302
Sensor no: 94-3= node303
Sensor no: 94-4= node304
Sensor no: 94-5= node305
Sensor no: 95-1= node306
Sensor no: 95-2= node307
Sensor no: 96-1= node308
Sensor no: 96-2= node309
Sensor no: 96-3= node310
Sensor no: 96-4= node311
Sensor no: 96-5= node312
Sensor no: 97-1= node313
Sensor no: 97-2= node314
Sensor no: 98-1= node315
Sensor no: 98-2= node316
Sensor no: 99-1= node317
Sensor no: 99-2= node318
Sensor no: 100-1= node319
Sensor no: 100-2= node320
Sensor no: 100-3= node321
Sensor no: 100-4= node322
Sensor no: 100-5= node323
Sensor no: 100-6= node324
Sensor no: 100-7= node325
Sensor no: 100-8= node326
Sensor no: 101-1= node327
Sensor no: 101-2= node328
Sensor no: 102-1= node329
Sensor no: 102-2= node330
Sensor no: 103-1= node331
Sensor no: 103-2= node332
Sensor no: 103-3= node333
Sensor no: 103-4= node334
Sensor no: 104-1= node335
Sensor no: 104-2= node336
Sensor no: 104-3= node337
Sensor no: 105-1= node338
Sensor no: 105-2= node339
Sensor no: 105-3= node340
Sensor no: 105-4= node341
Sensor no: 105-5= node342
Sensor no: 106-1= node343
Sensor no: 106-2= node344
Sensor no: 106-3= node345
Sensor no: 107-1= node346
Sensor no: 107-2= node347
Sensor no: 108-1= node348
Sensor no: 108-2= node349
Sensor no: 109-1= node350
Sensor no: 109-2= node351
Sensor no: 110-1= node352
Sensor no: 110-2= node353
Sensor no: 110-3= node354
Sensor no: 110-4= node355
Sensor no: 111-1= node356
Sensor no: 112-1= node357
Sensor no: 113-1= node358
Sensor no: 113-2= node359
Sensor no: 114-1= node360
Sensor no: 114-2= node361
Sensor no: 115-1= node362
Sensor no: 115-2= node363
Sensor no: 116-1= node364
Sensor no: 117-1= node365
Sensor no: 118-1= node366
Sensor no: 118-2= node367
